BIN,Brand,Type,Category,Issuer,IssuerPhone,IssuerUrl,isoCode2,isoCode3,CountryName,BankDomain,LogoUrl
106500,UATP,CREDIT,UATP,SAUDI ARABIAN AIRLINES (SV),,,SA,SAU,SAUDI ARABIA,saudia.com,https://commons.wikimedia.org/wiki/File:Saudia_logo.svg
106501,UATP,CREDIT,UATP,SAUDI ARABIAN AIRLINES (SV),,,SA,SAU,SAUDI ARABIA,saudia.com,https://commons.wikimedia.org/wiki/File:Saudia_logo.svg
106502,UATP,CREDIT,UATP,SAUDI ARABIAN AIRLINES (SV),,,SA,SAU,SAUDI ARABIA,saudia.com,https://commons.wikimedia.org/wiki/File:Saudia_logo.svg
106503,UATP,CREDIT,UATP,SAUDI ARABIAN AIRLINES (SV),,,SA,SAU,SAUDI ARABIA,saudia.com,https://commons.wikimedia.org/wiki/File:Saudia_logo.svg
106504,UATP,CREDIT,UATP,SAUDI ARABIAN AIRLINES (SV),,,SA,SAU,SAUDI ARABIA,saudia.com,https://commons.wikimedia.org/wiki/File:Saudia_logo.svg
106505,UATP,CREDIT,UATP,SAUDI ARABIAN AIRLINES (SV),,,SA,SAU,SAUDI ARABIA,saudia.com,https://commons.wikimedia.org/wiki/File:Saudia_logo.svg
106506,UATP,CREDIT,UATP,SAUDI ARABIAN AIRLINES (SV),,,SA,SAU,SAUDI ARABIA,saudia.com,https://commons.wikimedia.org/wiki/File:Saudia_logo.svg
106507,UATP,CREDIT,UATP,SAUDI ARABIAN AIRLINES (SV),,,SA,SAU,SAUDI ARABIA,saudia.com,https://commons.wikimedia.org/wiki/File:Saudia_logo.svg
106508,UATP,CREDIT,UATP,SAUDI ARABIAN AIRLINES (SV),,,SA,SAU,SAUDI ARABIA,saudia.com,https://commons.wikimedia.org/wiki/File:Saudia_logo.svg
106509,UATP,CREDIT,UATP,SAUDI ARABIAN AIRLINES (SV),,,SA,SAU,SAUDI ARABIA,saudia.com,https://commons.wikimedia.org/wiki/File:Saudia_logo.svg
106510,UATP,CREDIT,UATP,SAUDI ARABIAN AIRLINES (SV),,,SA,SAU,SAUDI ARABIA,saudia.com,https://commons.wikimedia.org/wiki/File:Saudia_logo.svg
106511,UATP,CREDIT,UATP,SAUDI ARABIAN AIRLINES (SV),,,SA,SAU,SAUDI ARABIA,saudia.com,https://commons.wikimedia.org/wiki/File:Saudia_logo.svg
106512,UATP,CREDIT,UATP,SAUDI ARABIAN AIRLINES (SV),,,SA,SAU,SAUDI ARABIA,saudia.com,https://commons.wikimedia.org/wiki/File:Saudia_logo.svg
106513,UATP,CREDIT,UATP,SAUDI ARABIAN AIRLINES (SV),,,SA,SAU,SAUDI ARABIA,saudia.com,https://commons.wikimedia.org/wiki/File:Saudia_logo.svg
106514,UATP,CREDIT,UATP,SAUDI ARABIAN AIRLINES (SV),,,SA,SAU,SAUDI ARABIA,saudia.com,https://commons.wikimedia.org/wiki/File:Saudia_logo.svg
106515,UATP,CREDIT,UATP,SAUDI ARABIAN AIRLINES (SV),,,SA,SAU,SAUDI ARABIA,saudia.com,https://commons.wikimedia.org/wiki/File:Saudia_logo.svg
106516,UATP,CREDIT,UATP,SAUDI ARABIAN AIRLINES (SV),,,SA,SAU,SAUDI ARABIA,saudia.com,https://commons.wikimedia.org/wiki/File:Saudia_logo.svg
106517,UATP,CREDIT,UATP,SAUDI ARABIAN AIRLINES (SV),,,SA,SAU,SAUDI ARABIA,saudia.com,https://commons.wikimedia.org/wiki/File:Saudia_logo.svg
